SoC,OCV,Temperature_C
0.949441155,4.112568,25.0730074997576
0.898882804583333,4.08914,25.2224371927442
0.848326098846154,4.075304,25.1125783107126
0.797767411217949,4.04014,25.1240428848861
0.74721096150641,3.983798,25.2364327436034
0.696652248589744,3.933988,25.2867104046243
0.646096185288461,3.872916,25.0910365911297
0.595538091891026,3.831389,25.0183450492312
0.544981135096154,3.794442,24.931093100621
0.494422560801282,3.751848,25.3304746093826
0.443866357948718,3.706408,25.0170699174797
0.393307240544872,3.65651,25.0943275972006
0.342751085128205,3.592955,25.2384024751897
0.292201586153846,3.533428,25.1475692946663
0.241645315032051,3.500232,25.0233096
0.191097658269231,3.44368,25.1058821650085
0.140540787275641,3.349463,25.4357211786444
0.0899976515384615,3.238125,25.3640653294461
0.0394412312179488,3.114964,25.3305286031808
0.948795729935897,4.112796,25.2531333139647
0.897592930128205,4.090749,25.0793494095977
0.846388075160256,4.075417,25.3233413497675
0.795185212532051,4.040464,25.0069851153324
0.743980927179487,3.983918,24.9813134191016
0.692778928269231,3.93419,25.0109358515284
0.64157444400641,3.873056,25.5104800697269
0.590372041923077,3.831623,25.1210084253796
0.539167715032051,3.794666,25.1716395053482
0.487965340865385,3.752476,24.9788216669894
0.436760449358974,3.706247,25.01844500097
0.385557716666667,3.656322,25.2674099679798
0.334353490961539,3.59326,25.4435833462714
0.283151390288462,3.533605,25.0413230777071
0.231946716410257,3.500152,25.1843959756216
0.180743275480769,3.443841,25.4788236902513
0.129538854935898,3.349139,25.3219511161212
0.0783366789102565,3.238652,25.1716273434241
0.0271323385897438,3.115281,25.3387681009161
0.948956929967949,4.112951,25.3403924339834
0.897916493910256,4.089418,25.0556577166885
0.846873762948718,4.075494,25.437622478533
0.795833198910256,4.040914,25.1991433490268
0.744790285448718,3.984434,25.0931915020396
0.693749365224359,3.934646,25.0600740183468
0.642706225641026,3.873164,25.100785657154
0.591665724935897,3.832356,25.0190242886928
0.540622655897436,3.795495,24.924068630157
0.489581871634615,3.753245,24.9665019379431
0.438539115288462,3.707781,25.0878858825815
0.387498224102564,3.657386,25.0455137103502
0.336455413397436,3.594391,25.3477768372093
0.285414725641026,3.534549,25.1099776343302
0.234371710320513,3.500884,25.4030318142045
0.183330784615385,3.445307,25.0543110914655
0.132287801634615,3.35199,25.4076238147788
0.0812471087179487,3.241054,25.3614057161617
0.0302041074679487,3.119354,25.3339586303502
